amenities,ciudad,descripcion,direccion,nombre,precio,valoracion
"Electric vehicle charging station,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Business Center with Internet Access,Valet parking,Paid private parking on-site,Paid wifi,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Snack bar,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Convenience store,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Air conditioning,Housekeeping,Room service,Safe,Iron,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",Atlanta,"HOTEL STYLE,Business,Green","165 Courtland Street NE, Atlanta, GA 30303",Sheraton Atlanta Hotel,"€117,€96",4.0
"Valet parking,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Kids club,Pets Allowed ( Dog / Pet Friendly ),Paid private parking on-site,Paid wifi,Hot tub,Indoor pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary Instant Coffee,Complimentary tea,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Spa,Couples massage,Facial treatments,Manicure,Massage,Pedicure,Salon,24-hour security,Baggage storage,Concierge,Non-smoking hotel,ATM on site,Butler service,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Soundproof rooms,Bathrobes,Air conditioning,Additional bathroom,Coffee / tea maker,Cable / satellite TV,Sofa bed,Bath / shower,Housekeeping,Room service,Safe,Telephone,Bottled water,Iron,Wake-up service / alarm clock,Minibar,Flatscreen TV,On-demand movies,Complimentary toiletries,Hair dryer,Bridal suite,Non-smoking rooms,Suites",Atlanta,"HOTEL STYLE,Classic,Centrally Located","3434 Peachtree Road NE, Atlanta, GA 30326","The Whitley, a Luxury Collection Hotel, Atlanta Buckhead",,4.5
"Free public parking nearby,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Billiards,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Paid private parking on-site,Wifi,Indoor pool,Breakfast available,Snack bar,Business Center with Internet Access,Meeting rooms,Convenience store,Non-smoking hotel,Outdoor furniture,24-hour check-in,24-hour front desk,Air conditioning,Safe,Private bathrooms,Bath / shower,Non-smoking rooms",Atlanta,"We're walking distance to Truist Park, home of The Atlanta Braves, and The Battery, with its range of restaurants, bars, shopping, and a movie theater. Enjoy free breakfast daily and the WiFi's on us too. A heated indoor pool, 24-hour fitness center, and comfy rooms complete the package.,HOTEL STYLE,Business","4511 Circle 75 Parkway, Atlanta, GA 30339",Tru by Hilton Atlanta Galleria Ballpark,,4.5
"Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,24-hour security,Paid private parking on-site,Wifi,Outdoor pool,Coffee shop,Restaurant,Breakfast buffet,Snack bar,Special diet menus,Banquet room,Meeting rooms,Photo copier / fax In business center,Baggage storage,Concierge,Convenience store,Gift shop,Newspaper,Non-smoking hotel,Shops,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Private balcony,Cable / satellite TV,Bath / shower,Room service,Safe,Telephone,VIP room facilities,Iron,Wake-up service / alarm clock,Flatscreen TV,Complimentary toiletries,City view,Non-smoking rooms,Suites",Atlanta,"HOTEL STYLE,Centrally Located,City View","265 Peachtree St NE, Atlanta, GA 30303-1294",Hyatt Regency Atlanta,,4.0
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Nightclub / DJ,Pets Allowed ( Dog / Pet Friendly ),Banquet room,Meeting rooms,Paid private parking on-site,Wifi,Restaurant,Breakfast available,Complimentary Instant Coffee,Complimentary tea,Complimentary welcome drink,Snack bar,Special diet menus,Rooftop bar,Rooftop terrace,24-hour security,Baggage storage,Concierge,Non-smoking hotel,Shared lounge / TV area,Sun terrace,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Air conditioning,Room service,Safe,VIP room facilities,Iron,Laptop safe,Flatscreen TV,Wake-up service / alarm clock,Non-smoking rooms,Suites",Atlanta,"HOTEL STYLE,Trendy,Boutique","789 Ponce de Leon Ave NE, Atlanta, GA 30306-4328",Hotel Clermont,,5.0
"Paid private parking on-site,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Parking,Wifi,Outdoor pool,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Snack bar,Vending machine,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Convenience store,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Self-serve laundry,Soundproof rooms,Air conditioning,Housekeeping,Private balcony,Room service,Safe,Microwave,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",Atlanta,"Our newly renovated Atlanta airport hotel is located less than 2 miles from Atlanta Hartsfield Jackson International. At the intersection of I-85 and Virginia Avenue, our Atlanta airport hotel offers the ultimate in convenience, amenities, productivity, and relaxation. Business travelers will appreciate free Wi-Fi and wired Internet, 12,000 sq. ft. of flexible meeting space, free airport shuttle service, and the HUB at Holiday Inn our multi-functional area to meet, mingle, eat, and drink. Our convenient location puts you near the Georgia World Congress Center, Georgia International Convention Center and downtown Atlanta venues such as State Farm Arena, Mercedes Benz Stadium, Georgia Aquarium and the World of Coca-Cola which attracts many leisure travelers and we are also minutes away from Georgia Tech University, Emory University and Centennial Olympic Park.,HOTEL STYLE,Green,Modern","1380 Virginia Avenue, Atlanta, GA 30344","Holiday Inn & Suites Atlanta Airport-North, an IHG Hotel",,4.5
"Paid private parking on-site,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Kids stay free,Business Center with Internet Access,Banquet room,Wifi,Indoor pool,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Meeting rooms,Convenience store,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Room service,Safe,Microwave,Non-smoking rooms,Suites",Atlanta,"Brand-new all-suite hotel, in a prime location in Midtown Atlanta, within walking distance of Atlantic Station, local restaurants, shopping and entertainment. Just a few miles drive to Mercedes Benz Stadium, Georgia World Congress Center, Atlanta Botanical Gardens, Georgia Aquarium, Fox Theatre and Atlanta Symphony Orchestra. Our hotel features on-site dining, free made-to-order breakfast, and complimentary evening social. Enjoy our indoor pool and full fitness center.,HOTEL STYLE,Charming,Business","290 17th St NW, Atlanta, GA 30363-1016",Embassy Suites by Hilton Atlanta Midtown,,4.5
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Evening entertainment,Tennis court offsite,Kids stay free,Children's television networks,Paid private parking on-site,Wifi,Fitness / spa locker rooms,Complimentary Instant Coffee,Complimentary tea,Happy hour,Wine / champagne,Walking tours,Highchairs available,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,24-hour security,Baggage storage,Concierge,Currency exchange,Newspaper,Non-smoking hotel,ATM on site,Doorperson,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Coffee / tea maker,Cable / satellite TV,Sofa bed,Walk-in shower,Air purifier,Housekeeping,Interconnected rooms available,Room service,Safe,Seating area,Sofa,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Radio,Bath / shower,Complimentary toiletries,Hair dryer,Mountain view,City view,Landmark view,Bridal suite,Non-smoking rooms,Suites,Family rooms",Atlanta,"The Candler Hotel Atlanta - Curio Collection by Hilton Atlanta. Situated downtown on famous Peachtree St Atlanta. Set within The Candler Building, Atlanta's first steel skyscraper and on the National Register of Historic Places, this boutique hotel honors its past by retaining its iconic lobby and Beaux-Arts architecture with other areas thoughtfully restored and reimagined by designer Nicole Hollis. Arguably Atlanta's favorite hotel. Our chic hotel offers 265 brand new guest rooms with bright, modern décor and amenities which include Smart TV's, mini refrigerator and laptop sized safe. Make the most of business travel or family weekends by upgrading to a one-bedroom suite with separate lounge, sofa bed and soaking tub. Hotel amenities include complimentary WiFi, a fitness center with Peloton bikes, business center and full-service restaurant By George, housed in the former Central Bank & Trust banking hall, helmed by renowned and award-winning chef Hugh Acheson.,HOTEL STYLE,Romantic,City View","127 Peachtree Street NE, Atlanta, GA 30303","The Candler Hotel Atlanta, Curio Collection by Hilton",,5.0
"Paid private parking on-site,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Meeting rooms,24-hour security,Parking garage,Wifi,Restaurant,Breakfast available,Breakfast in the room,Snack bar,Vending machine,Baggage storage,Concierge,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Air conditioning,Housekeeping,Room service,Safe,Iron,Refrigerator,Flatscreen TV,Non-smoking rooms",Atlanta,"HOTEL STYLE,Green,Boutique","683 Peachtree Street, NE, Atlanta, GA 30308","Hotel Indigo Atlanta Midtown, an IHG Hotel",,4.0
"Valet parking,Wifi,Pool,Fitness Center with Gym / Workout Room,Free breakfast,Bowling offsite,Raquetball offsite,Pets Allowed ( Dog / Pet Friendly ),Paid private parking on-site,Paid wifi,Pool / beach towels,Indoor pool,Heated pool,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Happy hour,Squash offsite,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Spa,24-hour security,Baggage storage,Concierge,Convenience store,Gift shop,Newspaper,Non-smoking hotel,Shared lounge / TV area,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Blackout curtains,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Sofa bed,Bath / shower,Room service,Safe,Separate living room,Sofa,Telephone,Iron,Laptop safe,Private bathrooms,Wake-up service / alarm clock,Microwave,Refrigerator,Flatscreen TV,On-demand movies,Radio,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Suites,Family rooms",Chicago,"The Embassy Suites Chicago Downtown Magnificent Mile is a sleek and upscale 4 Diamond property located in Downtown Chicago, minutes away from Michigan Avenue shopping and Navy Pier family fun. The Magnificent Mile area also features top rated restaurants and entertainment, as well as many corporate businesses. Northwestern Memorial Hospital and the University of Chicago Gleacher Center are within walking distance. There is a Whole Foods across the street and a Target and Walgreens around the corner for your convenience. The property is centrally located from both Chicago O'Hare Airport (ORD) and Midway Airport (MWI), and are both easily accessible from public transportation that surrounds the hotel. The Embassy Suites Magnificent Mile has 455 spacious two-room suites that each feature a private bedroom and separate living area and includes two 48-inch TVs and a kitchenette with refrigerator, microwave and coffeemaker.,HOTEL STYLE,Family,City View","511 North Columbus Drive, Chicago, IL 60611-5590",Embassy Suites by Hilton Chicago Downtown Magnificent Mile,€222,4.0
"Valet parking,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Business Center with Internet Access,Paid private parking nearby,Paid wifi,Indoor pool,Heated pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast available,Breakfast buffet,Conference facilities,Banquet room,Meeting rooms,Spa,Massage,Salon,24-hour security,Baggage storage,Concierge,Convenience store,Gift shop,Non-smoking hotel,Shops,ATM on site,Doorperson,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Air conditioning,Room service,Safe,VIP room facilities,Iron,Minibar,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Smoking rooms available",Chicago,"HOTEL STYLE,Classic,Historic Hotel","17 East Monroe Street, Chicago, IL 60603",Palmer House a Hilton Hotel,€285,4.0
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Coffee shop,Business Center with Internet Access,Conference facilities,Manicure,Baggage storage,Parking,Wifi,Vending machine,Banquet room,Meeting rooms,Pedicure,Salon,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Air conditioning,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms",Chicago,"Experience all of the vibrant energy and excitement of Chicago, when you stay at the Chicago South Loop Hotel. Ideally located near McCormick Place and just minutes away from attractions like the Shedd Aquarium, Millennium Park, Navy Pier, Chinatown, and Magnificent Mile shopping, our sophisticated boutique hotel offers the perfect combination of classic style, impeccable guests services and a prime location in the heart of Chicago's historic Bronzeville District. Whether you're visiting the Windy City for business or pleasure, you'll enjoy modernized and spacious guestrooms, central location and fabulous service from our welcoming hotel staff.,HOTEL STYLE,Green","11 West 26th Street South State Street and W 26th St, Chicago, IL 60616-5093",Chicago South Loop Hotel,€181,4.0
"Paid private parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Dry cleaning,Blackout curtains,Air conditioning,Desk,Safe,Telephone,Cable / satellite TV,Flatscreen TV,Walk-in shower,Iron,Wake-up service / alarm clock,On-demand movies,Radio,iPod docking station,Bath / shower,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Suites",Chicago,"The Chicago Hotel Collection Magnificent Mile offers 216 total rooms including 82 deluxe hotel suites with a mix of modern and bohemian-chic decor. Placed steps from Chicago’s famed Michigan Ave, and along the Magnificent Mile, The Chicago Hotel Collection Magnificent Mile Hotel & Suites puts you in the heart of The Windy City. World-class shopping, stunning views, and premium culinary destinations are all within reach when you stay with us. Downtown Chicago landmarks like Millennium Park, home of Cloud Gate, otherwise known as the Chicago Bean, are within walking distance from the hotel. Whether you’re here for work or play, the comforts of our city-inspired deluxe well-appointed accommodations provide the ultimate downtown retreat. Discover Chicago's trendy, cultural hub of eclectic art galleries, boutique shops, restaurants, and nightlife from our pet-friendly 4-Star boutique hotel & suites. Perfect for business, leisure, extended stays, and group travel! Experience the finest Chicago hospitality where our Concierge Team will attend to your every need including an on-site gym with weights, machines, and cardio equipment. Our guest rooms have smart design features that maximize your space and only give you what you desire . Post your lively adventures in Chicago's Magnificent Mile district to your story using our free Wi-Fi . Unwind after a fun-filled night on the Mag Mile on our cozy beds with plush linens and fluffy pillows . Select hotel suites feature large suites, making sleepovers and family getaways extra playful. Did we mention we're pet-friendly? Your furry family members are welcome to stay with us and there's a nice dog park across the street. (additional fees may apply)","166 E Superior St, Chicago, IL 60611-2924",The Chicago Hotel Collection: Magnificent Mile Hotel & Suites,€137,3.0
"Valet parking,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Bowling offsite,Tennis court offsite,Business Center with Internet Access,Meeting rooms,Paid public parking nearby,Restaurant,Breakfast available,Outdoor dining area,Photo copier / fax In business center,24-hour security,Baggage storage,Concierge,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,ATM on site,Doorperson,24-hour front desk,Laundry service,Shoeshine,Allergy-free room,Bathrobes,Air conditioning,Desk,Housekeeping,Refrigerator,Cable / satellite TV,Walk-in shower,Safe,Seating area,Telephone,Iron,Laptop safe,Wake-up service / alarm clock,Flatscreen TV,On-demand movies,Radio,Complimentary toiletries,Hair dryer,City view,Bridal suite,Non-smoking rooms",Chicago,"HOTEL STYLE,Park View","800 South Michigan Avenue, Chicago, IL 60605",Le Meridien Essex Chicago,€260,4.5
"Paid public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Kids stay free,Children's television networks,Business Center with Internet Access,Meeting rooms,Wifi,Bar / lounge,Restaurant,Breakfast buffet,Complimentary Instant Coffee,Kid-friendly buffet,Vending machine,Baggage storage,Convenience store,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Desk,Housekeeping,Safe,Wake-up service / alarm clock,Microwave,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",Chicago,"HOTEL STYLE,Value,Family","One South Franklin, Chicago, IL 60606",La Quinta Inn & Suites by Wyndham Chicago Downtown,"€120,€112",4.5
"Valet parking,Free internet,Pool,Fitness Center with Gym / Workout Room,Free breakfast,Kids stay free,Conference facilities,Meeting rooms,Paid private parking nearby,Wifi,Pool / beach towels,Indoor pool,Heated pool,Breakfast available,Baggage storage,Convenience store,Non-smoking hotel,Sun terrace,24-hour front desk,Express check-in / check-out,Self-serve laundry,Blackout curtains,Air conditioning,Desk,Interconnected rooms available,Safe,Coffee / tea maker,Cable / satellite TV,Hair dryer,Telephone,Wardrobe / closet,Iron,Laptop safe,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,Family,Green","33 West Illinois At the corner of Illinois St & Dearborn St, Chicago, IL 60654-4957",Hampton Inn & Suites Chicago-Downtown,€150,4.5
"Paid private parking on-site,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Billiards,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Parking garage,Wifi,Hot tub,Pool / beach towels,Pool with view,Indoor pool,Outdoor pool,Heated pool,Coffee shop,Restaurant,Kids' meals,Wine / champagne,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Convenience store,Newspaper,Non-smoking hotel,Outdoor fireplace,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Shoeshine,Air conditioning,Housekeeping,Private balcony,Room service,Safe,Bottled water,Minibar,Flatscreen TV,Iron,Non-smoking rooms,Suites,Family rooms",Chicago,"HOTEL STYLE,Trendy,Park View","221 North Columbus Drive, Chicago, IL 60601-7801","Radisson Blu Aqua Hotel, Chicago","€290,€215",4.5
"Paid public parking on-site,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Bicycle rental,Boating,Highchairs available,Business Center with Internet Access,Parking garage,Wifi,Coffee shop,Restaurant,Breakfast available,Complimentary Instant Coffee,Outdoor dining area,Wine / champagne,Rooftop bar,Bicycle tours,Banquet room,Meeting rooms,24-hour security,Baggage storage,Gift shop,Newspaper,Non-smoking hotel,Outdoor furniture,ATM on site,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Blackout curtains,Bathrobes,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Interconnected rooms available,Room service,Safe,Seating area,Sofa,Telephone,Wardrobe / closet,Bottled water,Iron,Private bathrooms,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,On-demand movies,Radio,iPod docking station,Complimentary toiletries,Hair dryer,City view,Landmark view,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,Romantic,Lake View","900 E Grand Ave, Chicago, IL 60611-0900","Sable at Navy Pier Chicago, Curio Collection by Hilton",€234,4.5
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Kids stay free,Taxi service,Business Center with Internet Access,Photo copier / fax In business center,Wifi,Breakfast available,Vending machine,Baggage storage,Concierge,Non-smoking hotel,First aid kit,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Blackout curtains,Air conditioning,Desk,Housekeeping,Safe,Cable / satellite TV,Flatscreen TV,Walk-in shower,Telephone,Clothes rack,Iron,Laptop safe,Wake-up service / alarm clock,Bath / shower,Complimentary toiletries,Hair dryer,Non-smoking rooms",Chicago,"HOTEL STYLE,Value,Mid-range","22 W. Monroe, Chicago, IL 60603-2410",Hampton Inn Majestic Chicago Theatre District,€172,4.5
"Valet parking,Wifi,Fitness Center with Gym / Workout Room,Bar / lounge,Walking tours,Pets Allowed ( Dog / Pet Friendly ),Taxi service,Business Center with Internet Access,Paid private parking on-site,Paid wifi,Yoga room,Fitness / spa locker rooms,Personal trainer,Restaurant,Breakfast in the room,Complimentary Instant Coffee,Conference facilities,Banquet room,Meeting rooms,Couples massage,Facial treatments,Foot massage,Full body massage,Hand massage,Head massage,Manicure,Massage,Neck massage,Pedicure,24-hour security,Baggage storage,Concierge,Convenience store,Non-smoking hotel,ATM on site,Doorperson,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Housekeeping,Room service,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Safe,Telephone,VIP room facilities,Wardrobe / closet,Iron,Laptop safe,Wake-up service / alarm clock,Refrigerator,Electric kettle,Flatscreen TV,On-demand movies,Bath / shower,Complimentary toiletries,Hair dryer,City view,Landmark view,Bridal suite,Non-smoking rooms,Suites,Smoking rooms available",Chicago,"HOTEL STYLE,Marina View,Harbor View","323 East Upper Wacker Drive, Chicago, IL 60601-9722",Swissotel Chicago,€195,4.0
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Business Center with Internet Access,Conference facilities,Paid public parking on-site,Wifi,Restaurant,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,Doorperson,24-hour check-in,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Minibar,Flatscreen TV,Walk-in shower,Interconnected rooms available,Room service,Safe,Telephone,Iron,Private bathrooms,Wake-up service / alarm clock,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Suites",Chicago,"HOTEL STYLE,Quiet,Green","20 East Chestnut St - Downtown, Chicago, IL 60611-2664",Sofitel Chicago Magnificent Mile,"€265,€232",4.5
,Atlanta,,,A Room for You,,1.0
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Free airport transportation,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Vending machine,Free shuttle or taxi services,Airport transportation,Banquet room,Meeting rooms,Baggage storage,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Air conditioning,Flatscreen TV,Non-smoking rooms,Suites",Atlanta,,"5010 Old National Hwy, Atlanta, GA 30349-3258",Ramada Plaza by Wyndham Atlanta Airport,,2.0
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Free airport transportation,Business Center with Internet Access,Gift shop,Parking,Wifi,Outdoor pool,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Non-smoking hotel,24-hour front desk,Air conditioning,Non-smoking rooms,Smoking rooms available",Atlanta,"HOTEL STYLE,Budget","1360 Virginia Ave, Atlanta, GA 30344-5297",Econo Lodge,,1.5
"Parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,Baggage storage,Wifi,Indoor pool,Heated pool,Restaurant,Breakfast available,Meeting rooms,Convenience store,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms",Atlanta,"Sonesta Select Atlanta Cumberland is minutes away from the Galleria Mall, Truist Park, and the Coca-Cola Roxy, making our hotel perfect for leisure travelers looking to enjoy local entertainment. We are just 25 miles from Hartsfield-Jackson Atlanta International Airport. All of downtown Atlanta and the greater Atlanta area are within reach from Sonesta Select Atlanta Cumberland. We look forward to sharing our neighborhood of shopping, dining, music and entertainment with you, whether you're unwinding after a day of business or exploring with family.,HOTEL STYLE,Modern,Centrally Located","3000 Cumberland Blvd SE, Atlanta, GA 30339",Sonesta Select Atlanta Cumberland Galleria,,3.5
"Paid private parking on-site,Parking garage,Free High Speed Internet (WiFi),Wifi,Free breakfast,Breakfast buffet,Vending machine,24-hour front desk,Housekeeping,Flatscreen TV,Non-smoking rooms",Atlanta,"The Quality Hotel in downtown Atlanta. Located minutes away from the downtown attraction you want to see, such as the Georgia Aquarium, Coca-Cola Factory, Tabernacle & many more.,HOTEL STYLE,Budget,Centrally Located","89 Luckie St NW, Atlanta, GA 30303-2107",Barclay Hotel Atlanta Downtown,,3.5
"Paid private parking on-site,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Shuttle bus service,Business Center with Internet Access,Conference facilities,Parking,Wifi,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Snack bar,Banquet room,Meeting rooms,Baggage storage,Gift shop,Newspaper,Non-smoking hotel,Shops,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Air conditioning,Room service,Safe,Flatscreen TV,Non-smoking rooms,Family rooms",Atlanta,"Make yourself at home at our new Hilton Garden Inn Atlanta Buckhead hotel. Located in the heart of Buckhead in Tower Place Complex, Atlanta's best dining and retail hubs are just steps from our front door. Take a short stroll over to Lenox Square®, or head over to Buckhead Village Entertainment District. With the MARTA Rail Station only 100 yards away, you'll enjoy easy access to Downtown, Midtown and the airport as well as popular attractions such as Philips Arena, Mercedes Benz Stadium, Emory University and GA Tech. Enjoy a host of thoughtful amenities at our Atlanta hotel. You'll feel right at home in a stylish guest room featuring complimentary WiFi, microwave, mini refrigerator and much more. Enjoy the convenience of a full-service restaurant and lounge, room service, and 24-hour Pavilion Pantry®. Our fitness center and business center are open 24 hours for your convenience and our vast meeting and banquet space is the ideal spot for your next conference or special event.,HOTEL STYLE,Mid-range,Centrally Located","3342 Peachtree Road, NE, Atlanta, GA 30326",Hilton Garden Inn Atlanta - Buckhead,,3.5
"Valet parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Kids stay free,Business Center with Internet Access,Conference facilities,Paid private parking on-site,Wifi,Hot tub,Outdoor pool,Heated pool,Breakfast available,Breakfast buffet,Snack bar,Meeting rooms,Baggage storage,Convenience store,Newspaper,Non-smoking hotel,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Fireplace,Safe,VIP room facilities,Kitchenette,Microwave,Refrigerator,Flatscreen TV,Bridal suite,Non-smoking rooms,Suites,Family rooms",Atlanta,"Our all-suite hotel greets travelers with modern design, inviting communal spaces to unwind and all the amenities you need, right where you need them. Sitting on the corner of 10th Street and Williams, and only a few blocks away from the midtown MARTA station, our conveniently located Midtown Atlanta hotel is within reach of the area's top destinations including Georgia Tech, Mercedes Benz Stadium, Centennial Park, World of Coke and more.,HOTEL STYLE,Modern,Centrally Located","97 10th Street NW, Atlanta, GA 30309","Homewood Suites by Hilton Atlanta Midtown, GA",,4.0
